epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_minutes
1,2.015632546424866,27.575,1.6373464254379273,39.8,0.1,18.168314667542777
2,1.5664604198455812,42.3175,1.3636052869796753,50.2,0.1,17.968062595526376
3,1.3395171476364136,51.4375,1.2311614646911622,55.82,0.1,17.278945751984914
4,1.1149529559135436,60.1525,0.9973301592826843,65.44,0.1,17.546617857615153
5,0.9486569178581238,66.3025,0.8396855328559876,70.34,0.1,18.947839403152464
6,0.8244189188480378,71.12,0.7729444023132325,72.96,0.1,18.840510324637094
7,0.7130593432426453,75.235,0.6346125745773316,77.22,0.1,18.90140017668406
8,0.6275214163780213,78.06,0.6021985166549683,78.7,0.1,18.776912021636964
9,0.5643219136238098,80.6,0.6354018238067627,78.64,0.1,18.959488503138225
10,0.5238045048713684,81.8625,0.5638545488119125,81.26,0.1,18.733714505036673
