epoch,stage,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_minutes
1,Stage 1,1.6732148351669311,47.26,1.4352793060302735,59.94,0.001,15.084173353513082
2,Stage 1,1.427797212600708,59.625,1.3438402616500855,63.7,0.00075,18.463796202341715
3,Stage 1,1.3583890005111694,62.9075,1.3022150398254395,65.74,0.0002500000000000001,17.48356505235036
4,Stage 2,1.1275339879989623,74.5775,0.8514532788276672,86.24,0.0001,27.193604636192322
5,Stage 2,0.8276520796775818,87.2,0.7601884410858154,90.3,9.939057285945933e-05,27.555528442064922
6,Stage 2,0.7428418645858764,90.845,0.7289187969207763,91.24,9.757729755661012e-05,24.16748503049215
7,Stage 2,0.6925284087181092,92.88,0.7221710060119629,91.62,9.460482294732422e-05,22.52814591328303
8,Stage 2,0.660830751991272,94.38,0.6874968173980713,92.56,9.054634122155992e-05,20.609014519055684
9,Stage 2,0.631512542629242,95.62,0.6728304685592651,93.38,8.550178566873411e-05,20.15748250881831
10,Stage 2,0.6068046798706055,96.59,0.6615568335533142,93.5,7.959536998847744e-05,20.49866268237432
